Source,Name,RSS feed URLs (where available),Type,Associated Twitter Handle,Associated Publisher,Text Aliases,Tags
https://www.christianitytoday.com,Christianity Today,,News Source,@CTmagazine,Christianity Today,,Referring|Christian|NAmerica
https://citizentruth.org,Citizen Truth,,News Source,@CitizenTruth_,Citizen Truth,,Referring|International|NAmerica
http://www.clarin.com,Clarin,,News Source,@clarincom,Clarin,,Referring|International|LAmerica
https://www.clevelandjewishnews.com/,Cleveland Jewish News,,News Source,@CleveJN,Cleveland Jewish News,,Referring|Jewish|NAmerica
https://www.cnn.com,CNN,,News Source,@CNN,CNN, ,left-center|Referring|International|NAmerica
https://www.cogencis.com/newssection/news/,Cogencis News,,News Source,@cogencis,Cogencis News,,Referring|International|Asia
http://www.cjr.org/,Columbia Journalism Review,,News Source,@CJR,Columbia Journalism Review, ,center|Referring|International|NAmerica
http://columbian.com,Columbian,,News Source,@thecolumbian,Columbian,,Referring|International|NAmerica
https://columbustelegram.com,Columbus Telegram,,News Source,@CTelegram,Columbus Telegram,,Referring|International|NAmerica
https://www.commondreams.org,Common Dreams,,News Source,@commondreams,Common Dreams,,Referring|International|NAmerica
https://www.concordmonitor.com,Concord Monitor,,News Source,@ConMonitorNews,Concord Monitor,,Referring|International|NAmerica
https://www.corriere.it,Corriere della Serra,,News Source,@Corriere,Corriere della Serra,,Referring|International|Europe
https://www.counter-currents.com,Counter Currents,,News Source,@NewRightAmerica,Counter Currents, ,Referring|International|NAmerica
http://www.counterpunch.org,Counterpunch,,News Source,@NatCounterPunch,Counterpunch,,Referring|International|NAmerica
https://www.crikey.com.au,Crikey,,News Source,@crikey_news,Crikey,,Referring|International|Oceania
https://www.ctk.eu,CTK,,News Source,@CTK_cz,CTK,,Referring|International|Europe
https://cyprus-mail.com,Cyprus Mail,,News Source,@cyprusmail,Cyprus Mail,,Referring|International|MENA
https://www.dvhn.nl,Dagblad van het Noorden,,News Source,@dvhn_nl,Dagblad van het Noorden,,Referring|International|Europe
https://www.dailybreeze.com,Daily Breeze,,News Source,@DailyBreezeNews,Daily Breeze,,Referring|International|NAmerica
https://www.dailymail.co.uk,Daily Mail,,News Source,@MailOnline,Daily Mail,,right|Referring|International|Europe
https://www.dnaindia.com,Daily News Analysis India,,News Source,@dna,Daily News Analysis India,,Referring|International|Asia
http://dailynewsegypt.com,Daily News Egypt,,News Source,@DailyNewsEgypt,Daily News Egypt,,Referring|International|MENA
https://www.dallasnews.com,Dallas News,,News Source,@dallasnews,Dallas News, ,center|Referring|International|NAmerica
https://www.day.az,Day Az,,News Source,@www_Day_Az,Day Az,,Referring|International|Asia
http://daysofpalestine.com/,Days of Palestine,,News Source,@DaysofPalestine,Days of Palestine,,Referring|International|Europe
https://www.groene.nl,De Groene Amsterdammer,,News Source,@DeGroene,De Groene Amsterdammer,,Referring|International|Europe
https://www.lc.nl/,De Leeuwarder Courant,,News Source,@lc_nl,De Leeuwarder Courant,,Referring|International|Europe
https://www.telegraaf.nl,De Telegraaf,,News Source,@telegraaf,De Telegraaf,,Referring|International|Europe
https://www.tubantia.nl,De Twentsche Courant Tubantia,,News Source,@tubantia,De Twentsche Courant Tubantia,,Referring|International|Europe
https://ukdefencejournal.org.uk,Defence Journal,,News Source,@UKDefJournal,Defence Journal,,Referring|International|Europe
https://www.demari.fi,Demari,,News Source,@demokraatti_fi,Demari,,Referring|International|Europe
https://www.democracynow.org,Democracy Now,,News Source,@democracynow,Democracy Now, ,left|Referring|International|NAmerica
https://derstandard.at,Der Standard,,News Source,@derStandardat,Der Standard,,Referring|International|Europe
https://www.deseretnews.com,Deseret News,,News Source,@DeseretNews,Deseret News,,right-center|Referring|International|NAmerica
https://www.desiringgod.org/,Desiring God,,News Source,@desiringGod,Desiring God,,Referring|Christian|NAmerica
https://www.detroitnews.com,Detroit News,,News Source,@detroitnews,Detroit News,,Referring|International|NAmerica
